gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
CITED2	8.851783377158632e-22	0.4433200789919889	0.294	0.257	2.150275217979375e-17
PHLDA1	1.1038971350482196e-21	-0.31279796495540535	0.218	0.261	2.681586920459135e-17
CCT2	1.7316576306358308e-21	-0.25458899481125014	0.208	0.254	4.20654271634056e-17
ZC3HAV1	2.7068863395474378e-20	0.26990714851257636	0.418	0.381	6.575568296028636e-16
NCOA3	3.344440324451408e-20	0.30688841464918293	0.276	0.236	8.124314436157361e-16
RPS6KA3	3.36460028984807e-20	0.29409962794608746	0.387	0.352	8.173287024098931e-16
SNHG5	3.445871011829085e-20	0.26700658820448253	0.337	0.297	8.370709861935212e-16
C6orf48	4.769117900665967e-20	0.2920409628779491	0.33	0.292	1.1585141204297768e-15
CHD1	1.08682670693178e-19	0.33131962988967983	0.266	0.23	2.6401194364786796e-15
HIF1A	1.7137331602462105e-19	0.34252728099241403	0.311	0.277	4.163000592870094e-15
PTGER4	2.639265231784493e-19	0.4917841992663141	0.274	0.243	6.411303101050891e-15
CAB39	7.108055407665713e-19	0.27255860892329464	0.34	0.305	1.726688819630155e-14
DNMT1	2.1150545008621825e-18	-0.2535432656205686	0.241	0.283	5.1378903934944136e-14
UCP2	6.027382668934095e-18	0.39560521805279514	0.488	0.465	1.4641717979374705e-13
DUT	8.83766754527636e-18	-0.39748231575603976	0.221	0.255	2.1468462000985334e-13
STAT1	2.057160056953892e-17	0.2943484639880867	0.453	0.425	4.997253210352395e-13
SNRPG	6.814804908022281e-17	-0.25601725272394116	0.236	0.276	1.6554524082567724e-12
CDV3	3.8378377013809746e-16	0.2548822140912883	0.345	0.313	9.322875344194663e-12
AL590867.2	1.0284341582193938e-14	0.2637539479142884	0.325	0.294	2.4982722571465515e-10
C12orf57	1.3392466214807006e-14	0.3006016412420001	0.264	0.234	3.253297892900918e-10
NSD3	1.4877249182986017e-14	0.2521563131621759	0.35	0.321	3.613981371530963e-10
GDI1	1.4927138223828885e-14	0.25974507877190944	0.321	0.29	3.626100417332513e-10
EIF3F	1.8286665796190948e-14	0.28141486696896423	0.278	0.249	4.442196855210705e-10
