gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
ANKRD12	7.634535467578573e-117	0.5050609518977147	0.572	0.475	1.854581355784187e-112
IL2RB	8.249006761035113e-117	-0.44571378496061564	0.48	0.598	2.0038487223906497e-112
RAC2	1.9393242747973205e-116	-0.27360553981650915	0.841	0.88	4.711006528337651e-112
EIF3E	1.310674297633867e-115	0.6541280761927887	0.379	0.279	3.18389000381219e-111
LEPROTL1	1.3257307134642077e-115	0.5300128043806556	0.499	0.397	3.2204650491472533e-111
MT-RNR1	1.4314962211183903e-114	-0.2797457448517324	0.902	0.931	3.477390620340794e-110
REEP5	8.583157593431175e-113	-0.6435676557224486	0.217	0.327	2.085020642596301e-108
GBP1	1.124748738340042e-112	-0.6837028385669746	0.193	0.298	2.7322396351756304e-108
PYHIN1	6.489815060188285e-109	-0.6065646087493584	0.256	0.367	1.5765058744209383e-104
MIAT	5.396073438499479e-108	-0.7041363324639396	0.203	0.305	1.3108141596802934e-103
CD3G	9.107084639745963e-108	-0.43399173163737537	0.589	0.664	2.2122930006870894e-103
ATP1B3	1.0534763278557693e-107	-0.6852021221550392	0.188	0.291	2.5591046956272346e-103
RPSA	1.6429953257744703e-107	0.42718993889242873	0.625	0.535	3.9911642453713433e-103
TNFAIP3	1.7392427280442776e-107	0.5095319871283053	0.674	0.595	4.224968434965159e-103
UBA52	6.760000649925886e-106	0.3192241918618688	0.824	0.774	1.6421393578799962e-101
BCL2	9.963239601107416e-106	0.8101158881362482	0.265	0.174	2.4202701639010134e-101
PEBP1	1.529822546165059e-105	0.5494810530420299	0.411	0.307	3.716244929144161e-101
LY6E	5.611773316611276e-104	-0.5883364115074121	0.233	0.339	1.3632119740712113e-99
GAPDH	3.8626126919536716e-103	-0.46815421448378425	0.648	0.707	9.383058751293859e-99
PTP4A2	1.00927079746569e-102	-0.39644753069225436	0.623	0.707	2.451720621203654e-98
AP001324.1	9.34909134407672e-102	0.5255954548596238	0.497	0.407	2.271081269303117e-97
ZFP36L1	6.897011612672086e-100	0.4282326501535558	0.772	0.719	1.675422060950303e-95
FLNA	1.6754766856246553e-99	-0.5764533822359872	0.268	0.372	4.070067964719413e-95
RPS3AP47	5.262651196092838e-99	0.6561557545431987	0.335	0.243	1.2784032285548723e-94
PREX1	6.234764773646054e-99	-0.5319628505887326	0.332	0.437	1.5145490588140993e-94
CAP1	1.726504665209417e-98	-0.39707403321850054	0.516	0.611	4.194025132726716e-94
CXCL13	7.256213580471621e-97	0.5456191423085315	0.161	0.268	1.762679402968166e-92
TAP2	9.988488515571909e-97	-0.5768327368601667	0.235	0.338	2.426403630202728e-92
CDKN1B	2.332223938846673e-96	0.5902579238648338	0.386	0.291	5.665438392246338e-92
HMGB1	1.5539536740585614e-95	-0.4448534002681317	0.538	0.611	3.7748642650230577e-91
LRRC75A-AS1	5.0520117382183855e-95	0.5025693873545012	0.465	0.371	1.2272346914480103e-90
AC016739.1	5.984389926897635e-94	0.783839820567918	0.259	0.175	1.4537280010419734e-89
ADAM8	3.3678847780952834e-93	-0.6778383795579858	0.171	0.262	8.181265702949062e-89
JUND	7.43823939777621e-93	0.26368116522875784	0.897	0.856	1.8068971145077968e-88
RAB1B	2.0046601736141425e-92	-0.5699468326236594	0.243	0.343	4.869720493743475e-88
ARRB2	2.435208570098769e-92	-0.5914074354583461	0.196	0.293	5.91560865848393e-88
NDFIP1	1.4806585748600232e-91	0.6909877621462683	0.289	0.203	3.5968158100499686e-87
SMC4	3.9924392527284144e-91	-0.7457420015362226	0.225	0.315	9.698433432727865e-87
S100A4	1.0397152805309298e-90	0.3541028658891663	0.712	0.628	2.5256763594657346e-86
RPL34P27	3.4827847721849965e-88	0.7088510996754892	0.277	0.194	8.460380768591794e-84
CYLD	1.6191006391604354e-87	0.5218359889651676	0.449	0.362	3.93311927264853e-83
LASP1	1.923731667529389e-87	-0.4723679101816112	0.323	0.425	4.673128966762391e-83
RPS13P2	3.391789366595876e-87	0.6899868129668465	0.297	0.213	8.239334729334702e-83
ANXA1	7.744267961639001e-87	-0.40350522838195535	0.31	0.422	1.881237573241346e-82
SAMHD1	1.0461923700592491e-86	0.5113199918209659	0.402	0.308	2.5414105053479278e-82
RPL18A	5.9089364788883714e-86	0.518383872371351	0.426	0.341	1.4353988494515631e-81
MAPK1	7.527299592808282e-86	-0.7233077527250416	0.169	0.255	1.8285316170849877e-81
PTPRA	2.4160726970263835e-85	-0.6093566351985725	0.186	0.276	5.869123795616491e-81
GBP5	3.33133926603663e-85	-0.3302336590132371	0.379	0.493	8.0924893450561815e-81
SLC9A3R1	4.6824140864490955e-85	-0.5653569500982858	0.203	0.297	1.1374520298802142e-80
CLIC1	5.1056312760349553e-85	-0.49441143539280286	0.281	0.381	1.2402599495744114e-80
ARAP2	6.643405793098824e-85	-0.5879948293742688	0.242	0.336	1.6138161352595663e-80
CD96	4.660702371336013e-84	-0.36043007405422767	0.5	0.596	1.1321778200449441e-79
AC024293.1	3.0534041272194934e-83	0.540264268185134	0.382	0.296	7.417329305841593e-79
CAPN2	1.935502536008154e-82	-0.5431559952483842	0.221	0.314	4.701722760471008e-78
BTN3A1	7.407930359134304e-81	-0.5098194643827124	0.286	0.38	1.799534442840905e-76
CLDND1	1.2454156344294482e-80	-0.8847203906317223	0.293	0.374	3.0253636591560155e-76
TAB2	1.950399725465619e-80	0.64085616498223	0.295	0.213	4.737911013101081e-76
ARL4C	5.850660670272023e-80	-0.3375545613181643	0.615	0.697	1.42124249002248e-75
GPR171	1.3644940428773655e-79	-0.3225930954228837	0.277	0.382	3.3146289289576964e-75
HMGB2	1.576035452991788e-79	-0.8903267989551609	0.384	0.454	3.828505322407651e-75
RAP1B	1.5987068491167987e-78	-0.5210948045240342	0.306	0.399	3.883578677874528e-74
ORMDL3	3.100084357371988e-78	-0.5043078824103195	0.254	0.346	7.530724920928033e-74
ACTR2	3.5134827083382793e-78	-0.2762073381933665	0.674	0.741	8.534952195095348e-74
SLAMF6	4.729239636981139e-78	-0.5049731483992376	0.228	0.319	1.1488268926154583e-73
TRIB2	7.129768363971033e-78	0.704051292596473	0.277	0.199	1.7319633309758434e-73
PTK2B	7.806606111675035e-78	-0.5106496787426591	0.276	0.369	1.8963807566480994e-73
PTPN6	9.966417626498674e-78	-0.6217262703317387	0.176	0.259	2.421042169829058e-73
CORO1A	2.9189541861261956e-77	-0.3212427758864993	0.574	0.654	7.090723508937754e-73
BCL11B	2.0037997360581127e-76	0.41213225894499117	0.515	0.431	4.867630318832367e-72
SNHG6	2.1599298711312632e-75	0.46581927841005966	0.429	0.347	5.246901642952065e-71
DUSP2	9.54979445545944e-75	-0.45788019957605597	0.435	0.522	2.3198360691202074e-70
SUN2	1.5003330239102066e-74	-0.3504701643637125	0.525	0.608	3.644608981682674e-70
ITK	1.5149002976341379e-74	0.49941925534939635	0.409	0.328	3.679995803012848e-70
TOMM7	2.010251117099022e-74	0.3280875240446597	0.648	0.581	4.883302013656944e-70
CCND2	3.5048573191181823e-74	-0.4352017484389741	0.411	0.497	8.513999399601888e-70
IRF1	4.84552044584609e-74	-0.33611442519837165	0.417	0.517	1.1770738267049322e-69
HSPA5	7.914198715627483e-74	-0.4659488729990584	0.381	0.468	1.9225171520002282e-69
SAMD9L	1.672498760044563e-73	-0.47230577234492643	0.246	0.336	4.062833987900252e-69
PRDX5	7.511841213876153e-73	-0.5427082328329487	0.191	0.276	1.8247764676747951e-68
RPL35	5.252056288089293e-72	0.3058232809311954	0.714	0.653	1.2758295135026511e-67
HSP90B1	8.339524003687316e-72	-0.3676740022427769	0.468	0.558	2.0258371709757228e-67
DRAP1	7.834758120237176e-71	-0.500040208490021	0.216	0.302	1.9032194425680149e-66
RNF213	8.044653273111437e-71	-0.30143461055592535	0.503	0.598	1.9542071731042303e-66
PDIA3	4.991729301776564e-70	-0.4462702064559909	0.327	0.418	1.212590881987563e-65
HCP5	1.5608631152403e-69	-0.46445379503670847	0.262	0.351	3.7916486795417366e-65
FAM49B	1.893648569746611e-69	-0.5190511789900762	0.22	0.304	4.600051105628467e-65
PARVG	2.392533118548822e-69	-0.5558111166545882	0.171	0.25	5.811941451578798e-65
FAM102A	6.007167152839775e-69	0.48256085715352653	0.299	0.22	1.4592610447678381e-64
HLA-F	7.660321448301923e-69	-0.3274063142676442	0.569	0.652	1.8608452862215032e-64
SNHG8	1.2054838104671725e-68	0.6078416136964925	0.254	0.18	2.9283612723868555e-64
RPL6P27	1.30092714295282e-68	0.44246502217824535	0.474	0.402	3.1602122156609905e-64
SHISA5	2.8972093636635415e-68	-0.37103537883155924	0.382	0.472	7.037900986211476e-64
RPS15	3.731062795943742e-68	0.2870552982648453	0.736	0.684	9.063497743906538e-64
AL031727.1	4.177281830588865e-68	0.4977831486289236	0.374	0.296	1.0147453022866471e-63
CAPZA1	5.112870841304546e-68	-0.3152243189169268	0.544	0.619	1.2420185847697003e-63
ADD3	6.3628189962803145e-68	0.45619341905544375	0.397	0.315	1.545655990576414e-63
UBB	7.688252859696779e-68	-0.29314212870185763	0.678	0.732	1.8676303846775415e-63
DEK	1.9112305979231076e-67	-0.4169648017805452	0.385	0.463	4.642761368474813e-63
MAPRE2	2.40266719024625e-67	-0.5150251084268637	0.214	0.297	5.836559138546191e-63
PDE4B	2.3103803498446014e-66	0.6005586261267829	0.285	0.211	5.612375945842506e-62
PARP8	3.071701234650583e-65	-0.4450183772957818	0.212	0.296	7.461776639213196e-61
RHOA	7.360049809110131e-65	-0.2690532463747095	0.643	0.7	1.7879032996290332e-60
NAA50	1.2274508862728022e-64	-0.5708133091458705	0.178	0.254	2.981723692933891e-60
TPI1	7.022203248484148e-64	-0.4846104258685271	0.392	0.461	1.7058336131217692e-59
CREM	1.4139660205150181e-63	0.5766089403342178	0.306	0.233	3.434806257035082e-59
AKNA	1.5661665374831833e-63	-0.35161608427127566	0.474	0.558	3.804531752854149e-59
HECA	2.534331885334618e-63	0.539499374838083	0.297	0.224	6.156399015854854e-59
AC116533.1	3.06679248582531e-63	0.49296956641924694	0.366	0.295	7.449852306566843e-59
ARHGDIA	3.2626483529420754e-63	-0.37054397635675396	0.374	0.458	7.9256253789668895e-59
RGS1	6.608660814738815e-63	0.4035708230637223	0.66	0.601	1.605375885116353e-58
DBI	2.4662077518683596e-62	-0.5436219008565589	0.19	0.266	5.9909118708386194e-58
RBPJ	3.689403366474661e-61	-0.5178885533715023	0.366	0.433	8.962298657840246e-57
ITGAL	6.963732811008127e-61	-0.3404565444010379	0.433	0.517	1.6916299744500943e-56
HMGN2	9.170120011368449e-61	-0.5491128048499836	0.494	0.544	2.2276055531616237e-56
RPS7	9.902600623128588e-61	0.2570100265080928	0.734	0.685	2.405539743370397e-56
RGS10	1.1221539115723916e-60	0.5630479711198454	0.292	0.224	2.7259362819916535e-56
IFI16	1.976260048067054e-60	-0.2957733577181276	0.52	0.591	4.800730908764487e-56
ARHGAP9	2.8113685871871336e-60	-0.38702222648517215	0.35	0.433	6.829376571994985e-56
EIF4B	4.588826338423554e-60	0.30995764132439363	0.576	0.512	1.1147176941298497e-55
PDE3B	4.806155290970131e-60	0.6456139120435612	0.29	0.224	1.1675112432824642e-55
LAPTM5	7.187289354869406e-60	0.28108365645871247	0.701	0.652	1.745936330084876e-55
CCNI	7.577466701310689e-60	0.2506406496955518	0.739	0.686	1.8407182110823926e-55
LBR	8.594962237324278e-60	-0.41001452900721946	0.3	0.381	2.0878882266908134e-55
LGALS3	2.508300838801321e-59	-0.4471294615211102	0.2	0.277	6.093164397616169e-55
PPP1CB	3.4315062350339386e-59	0.5249009240229571	0.334	0.265	8.335814946144443e-55
UBE2L6	5.738080615193247e-59	-0.48451115839727515	0.187	0.261	1.3938945430427436e-54
NACA	7.58246469432219e-59	0.2934261926828423	0.658	0.603	1.8419323235447464e-54
CYTIP	1.4984444313580485e-58	0.46073286000318614	0.403	0.333	3.6400212126549716e-54
PDCD1	1.8258212971100653e-58	-0.3746657146720107	0.175	0.25	4.4352850949397705e-54
APOL6	2.9944181442098028e-58	-0.38571985363899874	0.327	0.412	7.274040555914453e-54
PNRC1	6.731896667742279e-58	0.2658023840745285	0.676	0.612	1.6353123385279544e-53
ARL6IP1	7.076060723267289e-58	-0.5505917738408646	0.306	0.379	1.7189166708960897e-53
PDIA6	1.7256758417298652e-57	-0.43502572921634286	0.257	0.336	4.1920117547301885e-53
RPL10P3	6.124528689281862e-57	0.5990974874032029	0.255	0.189	1.48777050920035e-52
DDIT4	1.2276893141269327e-56	0.5191686635456969	0.449	0.386	2.982302881877145e-52
XAF1	3.2114829252334216e-56	-0.2997996010119133	0.333	0.421	7.801334321977028e-52
HERPUD1	8.939615491134876e-56	-0.49926209711151526	0.225	0.299	2.171611395106484e-51
INPP5D	1.2069575400395498e-55	-0.39703914875490653	0.255	0.335	2.9319412562640745e-51
MIDN	1.4141078164034057e-55	-0.5189619955952058	0.193	0.264	3.435150707607153e-51
RPS27AP16	1.735181732718979e-55	0.5268871872905523	0.305	0.238	4.215103465120944e-51
ARF6	1.1057584156937231e-54	-0.26735153118990973	0.502	0.581	2.6861083434031923e-50
PPP1R18	1.6482728966608028e-54	-0.2850150918564194	0.491	0.574	4.0039845205684223e-50
TENT5C	1.7550171402061612e-54	0.5542325798137033	0.301	0.233	4.263287636988807e-50
HNRNPAB	3.0260656503616875e-54	-0.4910104906618874	0.203	0.273	7.350918677858611e-50
RSL1D1	4.8974335849304124e-54	0.5110584654126693	0.314	0.247	1.1896845664512957e-49
R3HDM4	1.9909028883247407e-53	0.5635289511180277	0.257	0.194	4.83630129631846e-49
EPB41	3.337681997097413e-53	0.517314157374379	0.257	0.191	8.107897107349036e-49
KRAS	1.0157686680672229e-52	-0.4444100482607762	0.208	0.281	2.4675052484688977e-48
RPL37P6	4.89191424988049e-52	0.4908018147841476	0.323	0.259	1.1883438095809685e-47
LDHB	5.4498348120239684e-52	0.6071049536663204	0.258	0.198	1.3238738725368623e-47
GPSM3	5.612352648348984e-52	0.37076875861782876	0.456	0.39	1.3633527053369353e-47
SET	9.03423786694134e-52	-0.25903853061478843	0.598	0.652	2.19459706263739e-47
PPDPF	1.0619678850150632e-51	-0.32354670979906475	0.471	0.541	2.579732386278592e-47
ISCU	3.8047311261259806e-51	0.4486980641645699	0.359	0.296	9.242452851585232e-47
GAS5	3.2326228723129074e-50	0.44326888559302724	0.343	0.278	7.852687481422515e-46
PSMB8	5.372003904911965e-50	-0.4154244005696721	0.231	0.304	1.3049671885812145e-45
PSME1	1.0569990329717005e-49	-0.3136176611477457	0.376	0.456	2.567662050894855e-45
EVI2A	4.4173371838221014e-49	0.5247958004080494	0.26	0.2	1.0730595486940649e-44
NCOR1	1.6761710922127697e-48	-0.3908331546138577	0.267	0.342	4.0717548172032603e-44
CAPNS1	8.77692013577432e-48	-0.345612565311588	0.349	0.424	2.132089439382298e-43
HERPUD2	1.921401395239989e-46	-0.4019922984446833	0.241	0.311	4.6674682693169815e-42
KLF2	3.4493650800256754e-46	0.46761463107446133	0.334	0.269	8.379197652398371e-42
WNK1	4.523870943043667e-46	-0.28179354688973257	0.501	0.572	1.0989387294841676e-41
ARPC5	5.275036019561214e-46	-0.30364691619485074	0.463	0.524	1.28141174987181e-41
ENSA	8.631768651795561e-46	-0.3666302219285089	0.256	0.328	2.0968292408941777e-41
MOB1A	1.1242445500337447e-45	-0.3482245592492803	0.343	0.415	2.7310148609419725e-41
ITM2B	1.498734647404232e-45	0.2602504327915578	0.654	0.608	3.6407262054743605e-41
PSMA4	1.2025918421625166e-44	-0.3979943085514344	0.199	0.265	2.9213361029811856e-40
POMP	3.851523681504777e-44	-0.3875142856979087	0.213	0.28	9.356121327111405e-40
PLEKHA2	5.76812204583399e-44	-0.3711381091663064	0.261	0.33	1.401192207373993e-39
FOSB	6.658613848559421e-44	0.3747799289727709	0.555	0.496	1.6175104760920545e-39
EVL	6.904734708158231e-44	-0.29247906593074524	0.447	0.521	1.6772981553057976e-39
NUCKS1	1.9803013938335485e-43	-0.30596035468009863	0.464	0.52	4.810548145900456e-39
TMX4	2.200113747827404e-43	-0.30919558331925834	0.308	0.384	5.34451631622233e-39
EEF1D	6.0145887658853946e-43	0.25240471839979506	0.675	0.633	1.4610639030088802e-38
CSDE1	1.522978694812655e-42	0.2527176168402332	0.58	0.525	3.699619845438901e-38
NFKBIZ	1.0197045799643043e-41	0.4189015887391092	0.259	0.2	2.477066365649288e-37
PSMB2	1.376913914419408e-41	-0.3952148026010879	0.217	0.281	3.3447992809076257e-37
C19orf66	1.4457207932651074e-41	-0.38628067489745577	0.242	0.308	3.511944950999599e-37
PFDN5	2.134973998954042e-41	0.2658808880360626	0.53	0.473	5.186278838259159e-37
PPP1R12A	2.5330377526071384e-41	-0.30846119142570605	0.364	0.436	6.1532553086332605e-37
DHRS7	3.4937252474290574e-41	-0.33487225803700615	0.273	0.342	8.486957371054666e-37
GBP4	5.427016361409225e-41	-0.3138444763576519	0.249	0.32	1.3183308145135288e-36
PPP1CA	1.986300615724398e-40	-0.3881486565840071	0.205	0.269	4.8251214557177076e-36
PRKCH	2.4185489451591115e-40	-0.2944298192174515	0.374	0.444	5.875139097580513e-36
TUBB	3.8706299937365e-40	-0.9401250063597724	0.331	0.377	9.402534380784706e-36
PARP14	4.352442028573659e-40	-0.39047338386658653	0.2	0.262	1.0572952175811133e-35
GRK2	5.313425198465369e-40	-0.2645778419276221	0.408	0.48	1.2907372492112074e-35
ATP6V1G1	1.812433466280417e-39	0.428765462653225	0.287	0.231	4.402763376288389e-35
TUBA1B	2.7613670738223995e-39	-0.989238617439304	0.3	0.346	6.707912895729373e-35
S100A6	2.7909110620436946e-39	-0.26163750909232464	0.444	0.51	6.779681151916543e-35
FOXP1	9.307236023995092e-39	0.47048008052023305	0.29	0.236	2.2609137749488877e-34
SLC25A6	3.3380069750733214e-38	0.3090364350392236	0.474	0.419	8.108686543848113e-34
CHD3	3.597261243207882e-38	0.4814244949209927	0.26	0.207	8.738467012000588e-34
SPTAN1	3.868913181768384e-38	0.3464418359626087	0.401	0.345	9.398363901151759e-34
CIRBP	3.9310644036439085e-38	0.30185446178828523	0.494	0.442	9.549341649331782e-34
RNF167	6.220589654962227e-38	-0.32087078904925415	0.251	0.317	1.5111056389834242e-33
RBCK1	7.044653660709468e-38	-0.4033914116430871	0.207	0.266	1.711287267259544e-33
RIPOR2	1.0317435327535747e-37	0.3112226404042552	0.329	0.266	2.5063113897649837e-33
SRSF9	1.4351436081629696e-37	-0.37341637094607205	0.217	0.279	3.4862508529494856e-33
SAT1	3.60993020365985e-37	0.4966165399784064	0.409	0.361	8.769242450730507e-33
RPL15P3	1.0713598760604004e-36	0.31925859053885963	0.459	0.407	2.602547410925925e-32
AC007969.1	2.681759945350502e-36	0.26375651886015783	0.546	0.494	6.514531259245439e-32
RYBP	4.1787900628448e-36	0.5548084627077583	0.269	0.22	1.0151116820662588e-31
H2AFZ	1.1099988623948972e-35	-0.4151785931626957	0.291	0.344	2.696409236529684e-31
SURF4	1.1354073443552542e-35	-0.3355823931745774	0.263	0.325	2.7581315209077834e-31
BUB3	1.5662686150750992e-35	-0.26712927247022344	0.368	0.432	3.804779719740431e-31
KLF6	3.4926953677262146e-35	0.36816084080338873	0.758	0.744	8.48445558728052e-31
MGAT1	4.405535263641281e-35	-0.35649269983414694	0.193	0.251	1.07019262624374e-30
PSIP1	7.196182201850405e-35	0.3596794567593775	0.385	0.331	1.7480965804735002e-30
SPCS2	1.314006111289434e-34	-0.3464260513149427	0.212	0.27	3.1919836455442925e-30
RPS26	1.3981797028725543e-34	0.2807794418113425	0.67	0.639	3.396458134218009e-30
TSPYL2	1.88438917756364e-34	0.3377668838071767	0.296	0.24	4.577558190137594e-30
GPI	3.4946664584864225e-34	-0.34164676493931545	0.291	0.353	8.489243760955218e-30
EMP3	5.010280908021305e-34	-0.25994187777637423	0.339	0.405	1.2170974381765354e-29
NFATC2	1.0654955582447517e-33	-0.4068840013631547	0.262	0.316	2.588301810088151e-29
GPRIN3	2.711318633941088e-33	0.3067151292934571	0.492	0.445	6.586335225569691e-29
MYADM	4.487337107025292e-33	-0.3112141300393887	0.236	0.295	1.0900639300385839e-28
CHCHD2	5.70750134430698e-33	-0.2746107784659364	0.384	0.439	1.3864662265590516e-28
RHOG	6.458808854135247e-33	0.38320742193084845	0.361	0.313	1.568973846846534e-28
BZW1	1.1954425049036984e-32	-0.29531234491689573	0.268	0.329	2.903968932912064e-28
BANF1	1.5485916461418256e-32	-0.3079871153084873	0.271	0.331	3.761838826807723e-28
VASP	1.756307751126248e-32	-0.3532698287341379	0.201	0.257	4.266422789035882e-28
VMP1	7.129556273964724e-32	0.3987377898923563	0.352	0.304	1.731911810071511e-27
CANX	9.373754114242796e-32	-0.2597229548184514	0.388	0.448	2.27707234943186e-27
GATA3	1.4140656993475305e-31	0.5327499362818167	0.256	0.21	3.435048396855021e-27
