p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.40E-10,2.794107999,0.275,0.069,4.15E-06,0,AC092580.4
1.26E-09,2.597578494,0.266,0.073,3.73E-05,0,ZEB2
2.95E-28,2.455827799,0.704,0.252,8.74E-24,0,CCL5
2.13E-24,2.335152538,0.554,0.137,6.31E-20,0,GZMA
1.38E-10,2.247947455,0.335,0.111,4.08E-06,0,HOPX
8.39E-08,2.213119516,0.326,0.145,0.002487268,0,CCL4
8.43E-07,1.907719621,0.283,0.122,0.024970384,0,BHLHE40
2.38E-05,1.881073098,0.275,0.137,0.706257803,0,HLA-DRB5
3.27E-07,1.786999089,0.292,0.118,0.009700763,0,CXCR6
4.89E-05,1.727722825,0.288,0.16,1,0,JAML
7.32E-07,1.649581483,0.459,0.305,0.021682996,0,PLIN2
9.51E-22,1.602537402,0.751,0.45,2.82E-17,0,ALOX5AP
3.58E-06,1.572851548,0.373,0.221,0.106131087,0,FAM129A
9.72E-07,1.50737307,0.361,0.187,0.028814833,0,CAPG
9.46E-09,1.498133828,0.528,0.344,0.000280384,0,RBPJ
6.63E-07,1.370164494,0.425,0.271,0.019633268,0,EMB
2.22E-07,1.262560732,0.476,0.294,0.006576249,0,CLEC2B
0.000428873,1.25163343,0.33,0.225,1,0,ATP2B1
0.002401848,1.24451303,0.262,0.168,1,0,GLIPR2
9.61E-05,1.243071637,0.391,0.26,1,0,APOBEC3G
2.50E-13,1.22321086,0.742,0.531,7.42E-09,0,SAMSN1
0.0002288,1.217581786,0.378,0.279,1,0,TGFB1
4.27E-10,1.211838752,0.631,0.401,1.27E-05,0,DUSP4
0.002438949,1.1849407,0.288,0.195,1,0,TMEM165
5.11E-07,1.174482957,0.554,0.37,0.015137137,0,KLRB1
2.52E-15,1.162273368,0.811,0.573,7.48E-11,0,CREM
0.005114043,1.154655265,0.335,0.248,1,0,RP11-138A9.2
2.85E-05,1.152664409,0.464,0.328,0.843386875,0,CST7
0.000216148,1.134774246,0.369,0.26,1,0,CCDC107
3.19E-06,1.129992857,0.519,0.405,0.094655449,0,CD6
0.001382598,1.127723368,0.326,0.229,1,0,C12orf75
9.19E-06,1.108332983,0.481,0.347,0.272238013,0,RP11-138A9.1
0.001307964,1.106230592,0.373,0.29,1,0,HNRNPUL1
0.00405572,1.092058172,0.313,0.233,1,0,FLNA
2.76E-06,1.088419394,0.412,0.244,0.081718125,0,GZMM
3.21E-15,1.085417057,0.785,0.599,9.50E-11,0,CD99
0.000997126,1.082440251,0.429,0.344,1,0,TUBA4A
0.003286659,1.074976204,0.296,0.206,1,0,CXCR3
6.02E-28,1.058824839,0.991,0.92,1.78E-23,0,SH3BGRL3
9.05E-23,1.052557765,0.974,0.947,2.68E-18,0,CD52
6.17E-08,1.051326244,0.609,0.447,0.001827207,0,EML4
0.006629895,1.047164471,0.296,0.221,1,0,RAP1B
0.002954763,1.037099107,0.309,0.221,1,0,STAT4
0.009564736,1.024343954,0.339,0.271,1,0,ADGRE5
5.32E-09,1.022246132,0.777,0.645,0.000157581,0,RGCC
2.40E-12,0.994443509,0.807,0.618,7.12E-08,0,COTL1
6.93E-06,0.994048087,0.605,0.466,0.205285901,0,LMNA
7.25E-09,0.99239415,0.657,0.473,0.000214943,0,HLA-DPB1
1.17E-13,0.980432454,0.803,0.542,3.47E-09,0,ANXA1
0.003985627,0.967426598,0.326,0.24,1,0,STRAP
1.17E-23,3.637362767,0.38,0.041,3.47E-19,1,PLAC8
6.25E-17,2.398309559,0.453,0.125,1.85E-12,1,KLF2
3.03E-10,2.037593712,0.267,0.061,8.99E-06,1,SORL1
1.39E-13,1.949550925,0.42,0.128,4.11E-09,1,CCR7
7.02E-08,1.736100825,0.26,0.081,0.002080759,1,HSPA1B
4.92E-21,1.714655529,0.793,0.42,1.46E-16,1,IL7R
7.33E-07,1.7015235,0.253,0.09,0.021721137,1,RASGRP2
1.60E-05,1.622081534,0.267,0.122,0.473960378,1,LEF1
6.37E-06,1.494246883,0.28,0.119,0.188781366,1,GIMAP2
4.81E-09,1.476363304,0.42,0.186,0.000142493,1,TCF7
1.22E-05,1.472725564,0.32,0.159,0.360099885,1,SELL
2.10E-07,1.442233718,0.327,0.128,0.00621756,1,MAL
5.33E-08,1.229059856,0.493,0.249,0.001579268,1,GIMAP7
0.000175695,1.210532428,0.253,0.125,1,1,GIMAP1
1.36E-08,1.175870379,0.56,0.316,0.000404218,1,TXNIP
1.41E-05,1.1307136,0.427,0.261,0.417420203,1,NOSIP
0.000179119,1.094514531,0.373,0.229,1,1,GIMAP4
2.04E-11,1.022022614,0.807,0.58,6.04E-07,1,DUSP1
5.25E-06,1.010674636,0.433,0.226,0.155658231,1,SOCS3
2.00E-09,1.004196784,0.74,0.501,5.93E-05,1,FOS
2.31E-08,0.969134368,0.653,0.426,0.000685205,1,C6orf48
2.73E-09,0.947606759,0.82,0.664,8.10E-05,1,JUN
4.09E-44,0.894613285,1,1,1.21E-39,1,RPS12
2.52E-41,0.886551001,1,1,7.48E-37,1,RPL34
8.88E-23,0.885276909,0.967,0.899,2.63E-18,1,EEF1B2
