"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.53967159915744,0.875,0.258,0,"0","GZMK"
3.47562493521407e-294,2.07692459476209,0.268,0.081,8.44298809262202e-290,"0","TCF7"
0,1.74486453584055,0.537,0.314,0,"0","CLDND1"
4.95536489631043e-183,1.68976184563943,0.258,0.107,1.20375724061173e-178,"0","KLRG1"
9.98111768578438e-204,1.53318316037673,0.32,0.147,2.42461310823074e-199,"0","TC2N"
1.38860518656908e-298,1.32785432983087,0.512,0.275,3.37319971921361e-294,"0","EOMES"
3.15104517764387e-116,1.30264737228649,0.275,0.15,7.65451894553249e-112,"0","AL365361.1"
3.50569853729154e-106,1.28846665118134,0.273,0.155,8.51604288678861e-102,"0","FCMR"
4.77568360801724e-308,1.21962707853819,0.579,0.343,1.16010906205955e-303,"0","SLAMF7"
6.59948924029455e-190,1.18879334625424,0.467,0.287,1.60314792625235e-185,"0","ITM2C"
3.40278237205773e-183,1.18588936393604,0.492,0.339,8.26603893820263e-179,"0","SH2D1A"
1.09649876258053e-89,1.14906735692787,0.299,0.19,2.66361479406062e-85,"0","FAM102A"
2.43737440435215e-74,1.09130909944783,0.296,0.202,5.92086990305225e-70,"0","CD5"
1.88684796547904e-85,1.07655819351984,0.277,0.17,4.58353107774167e-81,"0","TRAT1"
5.25983094613928e-222,1.07450098985296,0.563,0.383,1.27771813343615e-217,"0","GIMAP7"
2.50428479808672e-94,1.02868317730377,0.35,0.238,6.08340863151226e-90,"0","DENND2D"
1.90269656211661e-69,1.01374023984909,0.317,0.226,4.62203048869366e-65,"0","ERAP2"
9.05359395247527e-145,1.00126973304605,0.486,0.347,2.19929904293529e-140,"0","GIMAP4"
5.48083073289626e-56,0.988428254980764,0.265,0.184,1.33140340163516e-51,"0","IL16"
1.42150433846509e-59,0.914340617806598,0.349,0.273,3.4531183389994e-55,"0","AL590867.2"
1.70470979175151e-58,0.892124344883834,0.312,0.226,4.14108102612278e-54,"0","ARHGAP25"
2.6690444902983e-81,0.889328953243582,0.415,0.327,6.48364287583262e-77,"0","AL355309.1"
5.57530479158253e-109,0.879309427088044,0.482,0.379,1.35435303997123e-104,"0","AP001324.1"
3.10648406443813e-39,0.874993220501898,0.275,0.21,7.5462710893331e-35,"0","ZC3H6"
2.8695642033783e-57,0.852852620950122,0.331,0.245,6.97074536284657e-53,"0","ATM"
2.580094007121e-57,0.83095376919524,0.374,0.295,6.26756436209834e-53,"0","NFATC2"
5.01403678176082e-117,0.799172755828694,0.293,0.154,1.21800981502534e-112,"0","GPR183"
1.20315085039621e-27,0.793837107958281,0.272,0.225,2.92269404578247e-23,"0","RPS27AP16"
3.10050970185812e-53,0.784485355407762,0.369,0.297,7.53175816775375e-49,"0","STK17A"
4.62534176327294e-81,0.777571387623119,0.457,0.363,1.12358802113426e-76,"0","PDCD4"
2.60517667980678e-35,0.756152860306879,0.333,0.283,6.32849519058662e-31,"0","AC024293.1"
0,0.747047052872396,0.901,0.834,0,"0","RPL13"
1.0552404169695e-28,0.746652259740879,0.308,0.26,2.5633900209023e-24,"0","CCR5"
0,0.744719031650577,0.942,0.889,0,"0","RPLP2"
5.56188653691366e-131,0.74016244067395,0.595,0.486,1.35109347754707e-126,"0","CD48"
0,0.736313836889162,0.97,0.925,0,"0","RPL13A"
2.51145559373159e-26,0.732363592177272,0.291,0.246,6.10082792829278e-22,"0","NIN"
1.31115193896489e-45,0.7293121127111,0.364,0.296,3.18505029013351e-41,"0","F2R"
2.52249719340512e-22,0.718670462353856,0.288,0.248,6.12765018221971e-18,"0","DGKA"
0,0.717928678185215,0.996,0.99,0,"0","RPS29"
0,0.700430588210303,0.927,0.87,0,"0","RPL28"
2.09606696885141e-167,0.697168278494551,0.826,0.77,5.09176588073384e-163,"0","JUNB"
1.15331880675593e-23,0.69084182968505,0.266,0.219,2.80164204537151e-19,"0","DYRK2"
3.6032048363658e-32,0.690503732789632,0.345,0.29,8.75290518849981e-28,"0","MIAT"
1.66127098397068e-28,0.682463251057184,0.363,0.319,4.03555947426157e-24,"0","CD84"
4.13833002492868e-27,0.679855950507639,0.322,0.28,1.00528312965567e-22,"0","RPL3P4"
1.6016419021373e-206,0.678410559772226,0.792,0.716,3.89070850867194e-202,"0","RPS25"
9.97879048541436e-268,0.674840946285701,0.862,0.788,2.42404778471686e-263,"0","RPL23A"
2.9222664135739e-60,0.672121469885801,0.489,0.42,7.09876957185371e-56,"0","RBL2"
1.92593507229668e-77,0.66649973702843,0.598,0.504,4.67848147762309e-73,"0","FOS"
0,2.43228742789098,0.513,0.134,0,"2","MYO7A"
0,2.41746821576956,0.374,0.098,0,"2","ENTPD1"
0,2.36387824346797,0.313,0.081,0,"2","WHRN"
0,2.28739210935266,0.311,0.079,0,"2","AFAP1L2"
1.29862206234908e-279,2.24260250214729,0.343,0.12,3.15461271385838e-275,"2","TNFRSF9"
0,1.9906198812268,0.666,0.255,0,"2","LAG3"
0,1.96367749845979,0.753,0.324,0,"2","RHOB"
0,1.8669690875386,0.576,0.209,0,"2","HAVCR2"
9.33509362997359e-226,1.86521227920227,0.32,0.12,2.26768094459318e-221,"2","TBC1D4"
0,1.8559209183337,0.642,0.186,0,"2","CXCL13"
0,1.81705697016634,0.578,0.213,0,"2","ITGAE"
0,1.79215736117717,0.454,0.173,0,"2","ACP5"
2.03647610005772e-216,1.78527271712795,0.286,0.1,4.94700774226022e-212,"2","GOLIM4"
1.07109976013288e-256,1.75225268359561,0.368,0.141,2.6019155373148e-252,"2","RAB3GAP1"
0,1.73242736421378,0.883,0.429,0,"2","GZMB"
0,1.72302573631444,0.437,0.158,0,"2","AKAP5"
2.27643028397201e-213,1.70204543607022,0.316,0.121,5.5299044458248e-209,"2","NDFIP2"
4.03312683455256e-274,1.69499841025977,0.499,0.234,9.79727170649508e-270,"2","CCL3"
0,1.59079821617838,0.507,0.207,0,"2","PHLDA1"
0,1.59066710616559,0.722,0.362,0,"2","GNLY"
8.44626348820085e-172,1.57424182314393,0.295,0.12,2.05176632655375e-167,"2","TNIP3"
6.87951603735607e-206,1.47275385498058,0.352,0.147,1.67117203579454e-201,"2","GALNT2"
7.18304736306105e-206,1.45616947614057,0.42,0.199,1.74490586543479e-201,"2","EGR1"
4.43508700098465e-251,1.41803478445803,0.393,0.156,1.07737133427919e-246,"2","CSF1"
0,1.39744455884258,0.718,0.421,0,"2","TIGIT"
0,1.39705758202992,0.71,0.308,0,"2","IFNG"
2.70687048506518e-126,1.39360168637551,0.266,0.119,6.57552978232034e-122,"2","ABCA2"
0,1.3768320640341,0.818,0.458,0,"2","CD7"
0,1.36220079464046,0.902,0.542,0,"2","PRF1"
0,1.33776842971684,0.688,0.351,0,"2","PTMS"
0,1.27249106414046,0.723,0.369,0,"2","RBPJ"
4.3394082381451e-264,1.26002699339399,0.539,0.265,1.05412904921021e-259,"2","LINC01871"
9.82466161126405e-186,1.24029264147022,0.427,0.211,2.38660679860826e-181,"2","PDCD1"
3.98702965555383e-142,1.23299767223814,0.352,0.175,9.68529243927136e-138,"2","TRAF5"
5.19738497725072e-94,1.22557849279534,0.268,0.137,1.26254875867374e-89,"2","PHYKPL"
0,1.2239444891394,0.703,0.389,0,"2","CD63"
5.08248656018067e-208,1.2175928348659,0.496,0.26,1.23463763519909e-203,"2","SIRPG"
4.78155692282865e-228,1.19915584624609,0.54,0.284,1.16153580769354e-223,"2","CD82"
1.13250213526993e-213,1.173522993975,0.495,0.249,2.75107418699771e-209,"2","FASLG"
